,idx,txt,trans_txt
826,826,그중에서도 특히 금연은 새해 계획 일 순위인 동시에 가장 지키기 어려운 버킷리스트이기도 하다.,금연은 새해 계획 중 가장 어려운 버킷리스트이면서도 가장 중요한 목표입니다.
827,827,"늘 작심삼일이 되는 금연, 그래도 왜 늘 결심하게 되는 걸까?",왜 한 번에 포기하게 되지 않는지에 대해 궁금한 이유가 있나요?
828,828,"담배 속 유해 물질은 2,000여 종담배가 건강에 좋지 않다는 것을 모르는 사람은 없다.",모든 사람들은 담배의 유해 물질이 많다는 사실을 알고 계십니다.
829,829,"무려 2,000여 종이 넘는 유해 물질이 포함되어 있고, 이 유해물질이 내뿜는 독성물질은 암이나 다른 기타 질병들을 유발한다.","많은 종류의 유해 물질이 포함되어 있으며, 이들은 암 및 기타 질병 유발 물질로 알려져 있습니다."
830,830,"또한 담배 속의 니코틴, 벤젠, 비소 등의 유해 물질들은 모공에 박히고 땀 속에 스며들 경우 흡연자 특유의 체취를 발생시킨다.",흡연자는 담배 안에 들어있는 유해 물질들이 모공에 흡수되고 땀으로 배출될 때 특유의 체취가 발생할 수 있습니다.
831,831,그뿐만 아니라 담배는 멜라닌 지수와 홍반 지수를 높여 얼굴색을 검고 칙칙하게 만드는 등 피부 탄력을 떨어뜨리기도 한다.,"담배는 피부 탄력을 낮추고 얼굴색을 어둡고 무딘 상태로 만들기 때문에, 고객들께 유익한 영향을 미치지 않습니다."
832,832,이런 흡연의 가장 무서운 점은 바로 피해가 나타나지 않기 때문에 담배를 피는 동안 위험성을 잊게 된다는 것이다.,흡연의 가장 무서운 점 중 하나는 담배를 피는 동안 위험성을 잊을 수 있기 때문에 피해가 즉시 나타나지 않는다는 것입니다.
833,833,하지만 흡연은 반드시 일정 시간이 지나면 질병의 원인이 되어 건강을 위협한다.,흡연은 시간이 지남에 따라 건강에 위협이 될 수 있는 질병 원인입니다.
834,834,"흡연으로 인한 피해asd 심혈관 질환, 암, 폐쇄성 폐 질환 등 질병의 원인, 흡연자 특유의 체취, 피부 탄력 저하, 간접흡연금연의 최대 적은 니코틴과 금단 증상흡연자도 담배의 해로움을 모르지 않는다.","담배를 피우는 사람들도 심혈관 질환, 암, 폐쇄성 폐 질환과 같은 질병의 원인이 될 뿐만 아니라 특유한 냄새와 피부 탄력 저하와 같은 부정적인 영향도 받을 수 있습니다. 또한, 간접흡연에 대해서도 담배의 해로움과 금단 증상을 경험하는 사람들이 많습니다."
835,835,그럼에도 불구하고 금연이 어려운 것을 왜일까?,왜냐하면 금연은 여전히 도전적인 과제라서입니다.
836,836,바로 금연의 가장 큰 적인 금단 증상 때문이다.,The main obstacle of quitting smoking is the withdrawal symptoms.
837,837,"주로 불면증, 피로감, 신경과민, 짜증, 불안, 분노, 우울감, 불안감, 두통, 긴장, 정신집중장애 등이 있는데 이를 발생시키는 담배의 중독성은 심각하다.","담배의 중독성은 불면증, 피로감, 신경과민, 짜증, 불안, 분노, 우울감, 불안감, 두통, 긴장, 정신집중장애 등을 야기하여 매우 심각합니다."
838,838,특히 담배 성분 중 니코틴은 담배 연기를 흡입하면 폐를 통해 니코틴이 흡수되어 수 초 안에 뇌에 도달한다.,"담배를 피울 때, 니코틴이 폐에서 흡수되어서 몇 초 안에 뇌에 도달한다."
839,839,이때 니코틴은 불안감이나 초조함을 감소시켜 주고 각성 및 기분전환 효과를 주는데 문제는 이런 효과가 내성을 갖는다는 것이다.,"니코틴은 불안감이나 초조함을 줄이고 각성 및 기분전환 효과를 줍니다. 다만, 이런 효과는 내성을 갖을 수 있다는 문제가 있습니다."
840,840,따라서 흡연자는 계속해서 담배를 피우게 되고 혈중 니코틴 농도도 높아진다.,따라서 흡연자는 계속해서 담배를 피우며 혈중 니코틴 농도가 상승합니다.
841,841,게다가 니코틴은 빠르게 대사되어 수 시간만 지나도 체내에서 사라져 버리기 때문에 높아진 니코틴을 흡수하지 않으면 불안한 기분이 든다.,"또한, 니코틴은 빠르게 대사되어 몇 시간이 지나면 체내에서 사라지기 때문에 니코틴이 증가하지 않으면 불안한 기분이 들 수 있습니다."
842,842,이것이 바로 금단증상.,이것은 금단증상을 나타내는 것이다. 이 글을 고객에게 친숙하게 전달하면 어떨까요?
843,843,이런 불안함과 초조함을 없애기 위해 흡연자는 계속 담배를 피우게 된다.,흡연자는 불안함과 초조함을 해소하기 위해 계속해서 담배를 피우게 됩니다.
844,844,흡연스타일에 따라 금연 방법 선택금연 성공을 위해 가장 중요한 것은 금단 증상을 방치하지 않는 것이다.,가장 중요한 것은 금단 증상을 무시하지 않으면서도 흡연 스타일에 따른 적절한 금연 방법을 선택하는 것입니다.
845,845,물론 대부분의 금단 증상은 일시적인 것으로 시간이 지나면 사라지지만 그사이를 참지 못하고 흡연을 해 실패하는 경우가 많다.,"대부분의 금단 증상은 일시적이며 시간이 지나면 사라지지만, 많은 사람들이 그동안 참기 어려워하여 흡연을 실패합니다."
846,846,이러한 금단 증상은 흡연 스타일에 따라 나뉘기도 하는데 이에 맞춘 금연 방법을 선택하면 금연 성공에 가까워질 수 있다.,"금단 증상은 흡연 스타일에 따라 다르니까, 맞춤형 금연 방법을 선택하면 성공에 가까워질 거야."
847,847,흡연 스타일 체크리스트asd A· 나는 기분이 처지는 것을 막으려고 담배를 피운다.·,저는 기분이 나빠지는 것을 막기 위해 담배를 피웁니다.
848,848,담배를 피우면 자극이 되고 일을 잘하게 된다.·,피워도 자극받고 일을 잘할 수 있는 것 같아요.
849,849,기분이 좋아지려고 담배를 피운다.,기분을 좋아지게 하기 위해 다른 방법을 찾아볼까요?
850,850,asdB· 나는 담배나 라이터를 들고 있는 것을 좋아한다.·,저희는 고객의 요구를 충족시켜드리기 위해 담배와 라이터를 소지하는 것을 즐긴다고 말씀드릴 수 있습니다.
851,851,내뿜은 담배 연기를 보면 재미있다.,저는 담배 연기를 관찰하는 것을 흥미로워합니다.
852,852,asdC· 나는 담배를 피우면 즐겁고 편안해진다.·,흡연을 할 때에는 편안함과 즐거움을 느껴요.
853,853,흡연을 통해 즐거움을 얻는다.·,저는 흡연을 통해 행복을 느끼는 고객 여러분을 도와드릴 수 있습니다.
854,854,긴장을 풀고 편안할수록 담배가 더 맛있다.,담배 맛을 더 풀어주는 것은 긴장을 풀고 편안한 상태일 때입니다.
855,855,asdD· 나는 무슨 일에 화가 날 때 담배를 피우게 된다.·,저는 일이 답답할 때 마음을 풀기 위해 담배를 피우는 편입니다.
856,856,마음이 불안하고 긴장될 때 담배를 피우게 된다.·,당신이 마음이 불안하고 긴장될 때 담배를 피우게 되는 상황에 도움이 될 수 있습니다.
857,857,기분이 울적하거나 걱정이 있을 때 담배를 피우게 된다.,"When feeling down or stressed, I turn to smoking a cigarette."
858,858,E· 나는 담배가 없으면 불안해서 못 견딘다.·,저는 담배가 없으면 안정이 되지 않아서 정말 힘들어요.
859,859,담배를 안 피우고 있을 때 그 사실을 정확히 알고 있다.·,당신이 담배를 피우지 않고 계실 때를 알고 있습니다.
860,860,얼마 동안 담배를 피우지 않으면 담배 생각이 나서 견딜 수가 없다.,"견딜 수 없어서 담배 생각이 나는데, 얼마 동안 피우지 않으면 담배 생각이 안 나는지 알려줄래요?"
861,861,F· 나도 모르는 사이에 저절로 담배를 피우게 된다.·,저는 고객의 의지와 권리에 따라 자동으로 담배를 피우게 됩니다.
862,862,재떨이 위에 피우던 담배를 놓고도 또 담배에 불을 붙인다.·,"고객님은 담배를 피우시다가 실수로 재떨이 위에 피우신 후, 다시 담배에 불을 붙이셨습니다."
863,863,언제 담배에 불을 붙였는지 모르는 상태에서 담배를 물고 있는 것을 발견할 때가 있다.※,가끔씩 담배를 물고 있는데 언제 불을 붙였는지 모르는 경우가 있어요.
864,864,"문항별로 항상, 자주, 때로, 간혹, 아님으로 체크하되 점수 합계가 11점 이상이면 그 유형에 해당.","이 평가에서 매 항목마다 항상부터 아님까지의 답변 옵션으로 체크하면서, 점수의 총합이 11점 이상이면 해당 유형에 속한다."
865,866,B형 ‘손에 담배가 없으면 무료한 유형’ 손과 도구를 이용해 장난감 등을 만들거나 조립하자.,앞으로는 B형 고객분들께서는 담배가 없는 경우에도 무료로 손과 도구를 이용하여 장난감을 만들거나 조립해드리겠습니다.
866,867,또한 책장과 서랍 등을 청소하고 화초를 키우는 등 손을 바쁘게 움직이자.,"또한, 고객님께 도움이 되어드리기 위해 책장과 서랍을 청소하고 화초를 키우는 등 다양한 일을 처리하겠습니다."
867,868,C형 ‘즐거움 추구형’ 30분 정도 온수 목욕을 하거나 체조 등 가벼운 운동을 통해 자기만족을 해보자.,"30분 동안 따뜻한 물에 목욕해도 되고, 가벼운 체조나 운동을 해도 됩니다. 무엇을 선택하든 자기 만족을 느낄 수 있습니다."
868,869,"또한 독서 등으로 관심 대상을 바꾸고, 다른 사람이 내뿜은 담배 연기도 절대 들이마시지 말자.","제가 도움이 될 수 있는 다른 관심사로 독서 등을 찾아보시고, 다른 분이 담배를 피워서 내뿜는 연기는 절대로 끌어들이지 않는 것이 좋습니다."
869,870,"D형 ‘초조한 마음 해소형’ 찜질이나 마시지, 음악 듣기, 명상 등으로 긴장을 푸는 것이 도움 된다.","긴장을 푸는 것에는 찜질이나 마사지, 음악 감상, 명상 등이 도움이 됩니다."
870,871,이런 것이 어렵다면 사람을 만나거나 전화를 하는 것으로 마음을 차분하게 가라앉히는 것도 좋다.,"만약 어려움을 겪는다면, 사람들을 만나거나 전화로 도움을 요청하는 것도 좋은 방법입니다."
871,872,E형 ‘갈망형 또는 의존형’ 하루 20분 정도의 운동이 도움 될 수 있다.,20분 정도의 운동은 E형 갈망형 또는 의존형 고객에게 도움이 될 수 있습니다.
872,873,금단 증상이 오면 시계를 보면서 숫자를 300까지 천천히 세어 보자.,"금단 증상이 있을 때, 천천히 시계를 보며 300까지 숫자를 세어 보세요."
873,874,"평소에 커피나 술을 피하고 생당근, 샐러리, 다시마, 무가당 껌 등을 씹는 것도 좋다.","고객님은 커피나 술을 대신하여 생당근, 샐러리, 다시마, 무가당 껌을 씹을 수도 있습니다."
874,875,F형 ‘습관형’ 담배를 피우던 장소나 피울 수 있는 장소에 아예 가지 않는다.,"고객님의 편의를 위해, ‘습관형’ 담배를 피우던 장소나 피울 수 있는 장소에 절대적으로 찾아가지 않습니다."
875,876,취미에 몰두하거나 적당한 운동과 가벼운 산책을 하고 물을 많이 마시자.,"당신이 즐기는 취미에 집중하고, 적절한 운동과 경치 좋은 산책을 즐기며 수분을 충분히 섭취해보세요."
876,877,F형은 금연 일기를 꾸준히 쓰는 등 새로운 습관을 만들어 결심을 확인하는 것도 좋다.※,고객님이 결심을 확인하기 위해 F형은 새로운 습관인 금연 일기 쓰기를 꾸준히 할 수도 있습니다.
877,878,지긋지긋한 속쓰림.,불쾌한 불편함을 느끼고 있습니다.
878,879,약을 먹으면 속쓰림은 가라앉지만 명치 끝이 찌릿하며 더부룩한 증상이 매번 반복된다면?,약을 먹으면 속쓰림은 줄어들지만 계속해서 명치 끝이 찌릿하고 더부룩한 증상이 발생합니다.
879,880,지금 바로 위축성 위염을 의심해봐야 한다.,바로 지금 위축성 위염이 의심될 수 있어요.
880,881,가볍게 생각하고 방심했다간 위암 등 위험한 질병으로 이어질 수 있기 때문이다.,"만약 가볍게 생각하고 방심한다면, 위암과 같은 위험한 질병에 이을 수 있습니다."
881,882,"위축성 위염, 누구나 겪는 감기 같은 것이라고?!",위축성 위염은 모든 사람이 겪을 수 있는 감기와 비슷한 것이라고 생각됩니다.
882,883,일상생활 속에서 속이 불편한 경우는 종종 있다.,가끔 일상생활에서는 불편한 순간들이 있을 수 있습니다.
883,884,과식이나 체했을 때 느끼는 더부룩함은 일반적으로 소화제를 먹으면 금방 가라앉기 때문에 심각하게 생각하는 사람은 거의 없다.,대부분의 사람들은 소화제를 먹으면 과식이나 체했을 때 느끼는 불쾌한 상태를 쉽게 해소할 수 있기 때문에 심각하게 걱정하지 않습니다.
884,885,"하지만 이런 소화불량이나 더부룩함, 불쾌감, 복통, 속쓰림 등의 증상이 반복적으로 나타난다면 눈여겨봐야한다.",만약 반복적으로 위 문제가 발생한다면 주의해야합니다.
885,886,반복적인 만성 위염은 경우에 따라서 위암으로 이어지기 때문이다.,"만성 위염이 반복되면 위암으로 진행할 수 있으므로, 이에 주의해야 합니다."
886,887,만성 위염이 있는 사람은 건강검진이나 위내시경 시 위축성 위염을 진단받는 경우가 많은데 주변에 위축성 위염을 앓는 사람이 흔하다 보니 누구나 겪는 감기 같은 질환으로 여겨 대부분 심각하게 생각하지 않는다.,"""Many people with chronic gastritis often undergo health check-ups or endoscopic examinations to diagnose atrophic gastritis. However, because atrophic gastritis is common in the surrounding population, it is often perceived as a common cold-like illness that everyone experiences and is not taken seriously by most people."""
887,888,"하지만 위축성 위염을 치료하지 않고 방치하거나 증상을 반복할 경우, 만성 염증으로 번지면서 위암 발생률이 6~20배나 올라갈 수 있다.","치료하지 않고 방치하거나 증상을 반복하는 경우, 위축성 위염은 만성 염증으로 전환되어 위암 발생률이 6~20배나 증가할 수 있습니다."
888,889,혹시 위축성 위염?,혹시 위축성 위염에 대해 궁금하신가요?
889,891,위축성 위염은 위의 표면 점막이 만성 염증으로 얇아진 상태를 말한다.,위축성 위염은 위 점막이 만성 염증으로 얇아진 상태를 가지고 있다는 것을 의미합니다.
890,892,대부분의 증상은 한 가지가 아닌 복합적으로 발생하는데 약을 먹으면 증상이 가라앉기는 하지만 반복된 증상으로 위벽이 얇아지면서 위 기능이 저하되고 위산 분비도 감소해 소화에 영향을 미친다.,"대부분의 증상은 복합적으로 발생하며 약을 복용하면 증상이 개선되지만, 계속되는 증상으로 인해 위벽이 얇아지고 위 기능이 감소되며 소화에도 영향을 미칩니다."
891,893,또한 이렇게 위벽이 얇아지면 위산과 세균 때문에 상처 발생도 쉬워진다.,"또한, 이렇게 위벽이 얇아지면 소화와 면역 체계에 영향을 주어 상처 발생 가능성이 높아집니다."
892,894,"이런 만성적인 위 염증은 위벽을 자극하는 맵고, 짠 자극적인 식습관, 불규칙한 식습관 및 스트레스 등에 많은 영향을 받는다.","만성적인 위 염증은 자극적인 음식과 식습관, 불규칙한 식사 그리고 스트레스 등이 큰 영향을 끼친다."
893,895,"물론 만성적인 음주나 커피, 흡연 등도 위축성 위염에 영향을 주는데 가장 심각한 것은 바로 위암의 원인 중 하나인 헬리코박터균의 감염이다.","음주, 커피, 흡연과 같은 습관은 위축성 위염에 영향을 줄 수 있지만, 가장 심각한 원인은 위암과 관련된 헬리코박터균의 감염입니다."
894,896,헬리코박터균은 위 속에 살고 있는 균으로 효소를 내뿜어 산성인 위를 국소적으로 중화시키는 역할을 한다.,"헬리코박터균은 위에서 살며, 효소를 분비하여 국소적으로 산성인 위를 중화시키는 역할을 해요."
895,897,하지만 이 과정에서 다양한 독소를 배출해 위 건강에 영향을 준다.,하지만 이 과정에서 다양한 독소를 체내로 배출하여 위 건강에 영향을 미칩니다.
896,898,무엇보다 한 그릇에 수저를 넣고 먹는 식문화가 있는 대한민국의 경우 이로 인해 가족 간 감염이 높기 때문에 위 염증의 완화는 물론 감염 차단을 위해 반드시 치료해야 한다.,"한 그릇에 수저를 넣고 먹는 식문화로 인해 가족 간 감염이 높아지는 대한민국의 경우, 위 염증 완화와 함께 감염 차단을 위해 반드시 치료해야 합니다."
897,899,"반복적인 위축성 위염의 원인asd 헬리코박터균 감염자극적이고 불규칙한 식습관스트레스진통제나 스테로이드 등의 약물 복용알코올, 커피, 흡연잘못된 식습관과 스트레스 조절이 관건!","고객님들의 반복적인 위축성 위염을 유발하는 원인은 헬리코박터균의 감염, 자극적이고 불규칙한 식습관, 스트레스, 진통제나 스테로이드 같은 약물 복용, 알코올, 커피, 흡연 등의 섭취입니다. 따라서 올바른 식습관과 스트레스 관리가 관건입니다!"
898,900,반복적인 위축성 위염이 있다면 가장 먼저 식습관 개선이 진행돼야 한다.,식습관을 개선하는 것은 반복적인 위축성 위염을 해결하기 위해 가장 먼저 고려해야 할 사항입니다.
899,901,"위벽에 자극을 주는 맵고 짠 음식, 기름진 음식 등을 가급적 멀리하고, 과도한 음주나 흡연도 잠시 멈추자.","편안한 영양식을 선호하며, 음주와 흡연을 적당히 조절하는 것이 좋습니다."
900,902,"특히 마음대로 되지 않는 것이 스트레스 조절인데 스트레스를 비롯해 우울, 불면 등 정서적인 건강은 위장 운동과 위산 분비에도 영향을 미친다.","스트레스 조절에서부터 우울, 불면 등 정서적인 건강까지, 위장 운동과 위산 분비에도 영향을 미친다는 사실을 알게 되었습니다."
901,903,쉽지 않겠지만 정서적인 안정은 위 건강은 물론 신체의 밸런스 조절에도 도움이 되니 환경변화를 통해 스트레스를 조절해보자.,"환경변화를 통해 스트레스를 조절하면, 정서적인 안정뿐만 아니라 신체의 밸런스도 개선될 수 있어요."
902,904,또한 규칙적인 건강검진과 위내시경으로 헬리코박터균 검사 및 위 건강을 체크하는 것도 중요하다.,정기적인 건강검진과 위내시경을 받아 헬리코박터균 검사와 위의 상태를 확인하는 것도 매우 중요합니다.
903,905,만약 검사를 통해 헬리코박터균의 약물 반응이 체크됐다면 식사 시 반드시 소분해서 먹는 습관을 들이고 전문의를 통해 치료해야 한다.,"검사 결과, 헬리코박터균에 약물 반응이 확인되었으므로 식사 시 소분해서 섭취하고 전문의에게 치료 받아야 합니다."
904,906,"위축성 위염 부르는 습관asd 자극적인 음식과 과식 및 폭식, 특히, 반복적인 야식 섭취asd밀가루, 기름진 음식 등의 과다 섭취asd식후 바로 눕는 습관","고객을 위해 친화적인 한 문장으로 표현하면 ""위축성 위염을 부르는 습관으로는 자극적인 음식과 과식, 특히 반복적인 야식 섭취, 밀가루와 기름진 음식 등의 과다 섭취, 식후에 바로 눕는 습관이 있습니다.""가 됩니다."
905,907,"애매한 계절, 아이스 아메리카노를 주문해야 할지, 따뜻한 아메리카노를 주문해야 할지 고민하고 있지는 않은가?",아이스 아메리카노와 따뜻한 아메리카노 중 어떤 것을 주문할지 고민하고 계신가요? 저희가 도움을 드릴 수 있을까요?
906,908,"계절이 바뀌는 환절기에 패딩을 입어도 될지, 봄 코트를 꺼내야 할지 망설이고 있는 내 모습.",고객분들께서는 계절이 바뀌는 환절기에 패딩을 입으실지 아니면 봄 코트를 꺼내실지 어떻게 결정해야 할지 고민하시는 모습을 확인할 수 있습니다.
907,909,나 혹시 선택 장애?,당신이 고객의 선택을 어려워하는 현상에 대해 도움을 받을 수 있습니다.
908,910,"신중함과 우유부단의 사이, 선택 장애란?“","""신중함과 우유부단 사이에서 선택 장애란 무엇인가요?"""
909,911,"죽느냐 사느냐, 그것이 문제로다!”","""살 것인지 죽을 것인지, 그것이 문제입니다!"""
910,912,햄릿에서 가장 유명한 이 대사는 결정 장애를 가진 사람들의 마음을 대변한다.,햄릿에서 가장 유명한 대사가 결정 장애를 가진 사람들의 마음을 잘 표현한다.
911,913,"흔히 말하는 선택 장애는 결정 장애라고 부르는데, 종종 햄릿의 이 유명한 명대사 때문에 햄릿증후군으로 불리기도 한다.","선택 장애는 종종 결정 장애라고 불리며, 햄릿의 유명한 명대사 때문에 햄릿증후군으로 알려져 있을 때도 있습니다."
912,914,사실 결정 장애는 정확히는 질병은 아니다.,결정 장애는 실제로는 질병이 아닙니다. 하지만 결정을 내리는 일에 어려움을 겪는 사람들을 도와드리는 데에 도움이 될 수 있습니다.
913,915,하지만 수많은 메뉴를 눈앞에 두고도 뭘 주문해야 할지 고르지 못해 고민한 경험이 누구나 있을 것이다.,고객이 메뉴를 선택하는 데 고민하는 일은 누구나 있을 수 있어요.
914,916,뒤에 줄이라도 길게 서 있다면 더 당황스러울 터.,만약 뒷 줄에 긴 시간을 서야 한다면 상당히 당황스러울 수 있습니다.
915,917,가장 맛있는 것을 고르기 위한 신중함일지 단순히 잘 결정하지 못하는 우유부단함인지 헷갈릴만하다.,저는 고객들이 맛있는 것을 선택하는 과정에서 귀하신분이 혼동을 겪을 수 있는 경우에도 조심스럽게 도움을 드리겠습니다.
916,918,심리적으로 내게 뭔가 큰 문제가 있는 것은 아닐까?,저희는 귀하의 심리적 상태에 큰 문제가 있을 거라는 생각이 들지 않습니다.
917,919,최선이 아니어도 괜찮아!,"근사해도 좋아요, 최선을 다하지 못해도 문제 없어요!"
918,920,작은 메뉴 결정부터 결혼과 같은 인생의 큰 결정까지 우리는 끊임없이 선택을 강요받는다.,우리는 스스로가 항상 선택해야 하는 작은 메뉴부터 결혼과 같은 큰 결정까지를 마주하는 고객 친화적인 경험을 갖고 있습니다.
919,921,"요즘같이 다양하고 많은 정보가 쏟아지는 시대, 이 중에서 내게 가장 잘 맞고 필요한 정보를 골라 최선의 선택을 하는 일은 쉽지 않다.",요즘은 많은 정보가 있어서 제가 어떤 정보가 제일 도움이 되는지 선택하는 것이 어렵습니다.
920,922,아무리 확인하고 선택했더라도 반드시 선택하지 않은 것에 대한 기회비용은 발생하기 때문이다.,"선택하지 않은 것에 대한 기회비용은 항상 발생하기 때문에, 어떤 결정이든 확인하고 선택하는 것이 중요합니다."
921,923,결정에 어려움을 겪는 사람의 대부분은 스스로 좋은 결정을 내리는 것에 대한 신뢰가 부족하다. ‘,대다수 결정 어려움 겪는 분들은 스스로 좋은 결정을 내릴 수 있는 능력에 자신감이 부족하다고 느낍니다.
922,924,잘못 결정하면 어쩌지?,"고객님, 조금 잘못된 결정을 내리게 되면 어떤 조치를 취해드릴까요?"
923,925,지금 고른 메뉴가 맛이 없으면 어쩌지?’,"고객님께서 맛 없는 메뉴를 선택하셨을 경우에 대비하여, 어떻게 도움을 드릴까요?"
924,926,이런 걱정으로 결정 자체를 못 하는 것.,우려가 결정에 영향을 주어 결정에 어려움을 겪고 있습니다.
925,927,메뉴를 잘못 주문했다고 해서 인생이 무너지지는 않는다.,"잘못된 메뉴를 주문한 것이 문제가 아니라고요, 그래도 저희는 항상 고객 여러분을 위해 최선을 다할 거예요."
926,928,꼭 최선일 필요는 없으니 최고의 선택을 위해 머리를 풀가동하지 말자.,극한을 달지 않고 최상의 선택을 위해 지나치게 고민하지 않아도 돼요.
927,929,또 한 가지 선택이 어려운 이유는 포기하지 못하는 마음 때문이다.,포기하지 못하는 마음 때문에 다른 선택을 만들기 어렵습니다.
928,930,"내가 원하는 것이 한 가지가 아니라 두 가지, 세 가지일 때, 한 가지만 선택하게 되면 두 가지를 선택했을 때 얻을 수 있는 것을 포기해야 한다.",한 가지를 선택하게 되면 다른 것을 얻을 수 없게 되어요.
929,931,어떤 것을 진짜 원하는지 모를 때도 결정하기 어렵지만 모든 것을 다 갖고 싶을 때도 결정장애는 발생한다.,"고객님께서 원하는 것을 정확히 모르거나, 모든 것을 소유하고 싶을 때에도 결정을 내리기 어려워지는 상황이 발생할 수 있습니다."
930,932,선택만큼 중요한 것이 포기하는 지혜라는 것을 항상 생각하자.,항상 고려해야 할 것은 선택의 중요성과 포기의 지혜입니다.
931,933,결정장애를 벗어나기 위한 선택 후 집중!,집중하여 결정장애를 극복하고 선택을 하세요!
932,934,늘 반복되는 고민을 없애기 위해 결정을 잘하는 사람이 되려면 어떻게 해야 할까?,"""고민을 없애고 결정을 잘하는 사람이 되고 싶다면 어떻게 해야 할까요?"""
933,935,핵심은 선택 후 집중이다.,집중은 선택의 핵심입니다.
934,936,선택과 집중이 아니라 선택한 뒤 그 결정에 집중하는 것.,고객에게 집중하기 위해 선택 후 몰두하는 것이 중요합니다.
935,937,선택을 못 하는데 어떻게 결정에 집중할 수 있을까?,고객의 결정 집중을 돕기 위한 조언을 알려드릴게요.
936,938,선택을 못 하는 이유 중 하나는 스스로의 대한 신뢰 부족이다.,스스로를 믿지 못하면 선택하기 어려워질 수 있습니다.
937,939,선택했는데 최선이 아닐 때의 두려움이 크기 때문이니 선택 후 후회하지 말고 일단 선택했으면 이 결정에 집중해야 한다.,"일단 선택한 후, 최선이 아닐까봐 두려움이 크지만, 결정에 집중하고 후회하지 않으면 됩니다."
938,940,무엇이든 결정했을 때의 장단점은 있다.,"장단점이 있는 모든 결정을 정할 때, 이는 고객에게 친화적입니다."
939,941,"단점을 보고 후회하지 말고, 장점에 집중에 선택을 성공적으로 만드는 경험을 반복하자.","계속해서 단점을 후회하지 말고, 장점에 초점을 맞추어 선택을 성공으로 이끌어내는 경험을 반복해보세요."
940,942,"그러면 실패에 대한 두려움이 줄어들고, 두려움이 사라지면, 선택에 대한 부담이 적어진다.",고객들은 두려움이 줄면서 실패에 대한 부담도 덜어낼 수 있어요.
941,943,선택 자체가 힘들 때는 소거법이 도움 된다.,소거법은 선택이 어려울 때 도움이 될 수 있습니다.
942,944,"커피와 차를 주문하기 위해 고민할 때, 아침에 카페인 섭취를 했으니 커피는 제외하고 차를 주문하는 식이다.","고객님들의 편의를 위해, 아침에 이미 커피를 마셨다면 커피 주문은 제외하고 차를 주문하시는 것이 좋습니다."
943,945,차를 일단 주문한 뒤에는 ‘커피 주문할 걸 그랬나?’라는 후회보다는 ‘차를 마셔서 카페인 섭취를 줄였다’는 긍정적인 부분에 집중하자.,"고객님, 차를 주문한 후에는 '커피를 주문할 걸 그랬나?'라는 후회보다는 '차를 마셔서 카페인 섭취를 줄였다'는 좋은 점에 집중해보세요."
944,946,결정 장애 체크리스트asd식사할 때 타인이 정해준 메뉴를 먹는다.,저희는 고객님의 결정 장애를 도와드리기 위해 타인이 정해준 메뉴를 식사하실 수 있도록 도와드리고 있습니다.
945,947,옷이나 물건을 살 때 남에게 꼭 물어보고 구매한다.,제품을 구매할 때 항상 고객의 의견을 물어보고 구매합니다.
946,948,"질문을 받으면 ‘글쎄?’, ‘아마도?’라고 얼버무릴 때가 많다.","일반적으로, 제가 질문을 받았을 때에는 최대한 정확한 답변을 제공하기 위해 최선을 다하고 있습니다."
947,949,사소한 감정을 부탁하는 글을 인터넷에 자주 올린다.,저는 자주 사소한 감정을 공유하는 글을 인터넷에 올립니다.
948,950,선택을 강요받으면 극심한 스트레스를 받는다.,"선택을 강요받을 경우, 많은 스트레스를 느끼게 됩니다."
949,951,적절한 선택을 못 해 일상생활에서 피해를 입은 적이 있다,어떤 상황에서든 적절한 선택을 내리기 어려워서 곤란한 일이 있었습니다.
950,952,1월 30일부터 마스크 착용 해제가 시작된다.,마스크 착용 해제가 1월 30일부터 시작됩니다.
951,953,"하지만 전면 해제라기보다는 권고, 이마저도 장소에 따라 착용해야 하는 곳과 해제되는 곳이 모두 다르다.","마스크 착용과 해제는 각각의 장소에 따라 다르지만, 권고 사항으로 안내되고 있습니다."
952,954,"마스크 착용과 관련해 변경된 사항을 알아보고, 착용해야 하는 곳, 해제되는 곳, 착용이 적극 권장되는 경우 등 꼭 알아야 하는 주의사항에 대해 살펴보자.","마스크 착용 관련해서 변경된 사항, 착용해야 하는 곳과 해제되는 곳, 그리고 적극적인 착용이 권장되는 경우에 대한 주의사항을 알아보세요."
953,955,"실내 마스크 착용, 이제 의무 아니라 권고!",실내에서 마스크를 착용하는 것은 이제 의무가 아니라 권고사항입니다!
954,956,지난 1월 30일부터 실내 마스크 착용 의무가 해제됐다.,"고객님들께 알려드리는 바에 따르면, 1월 30일 이후로는 실내에서의 마스크 착용이 선택 사항이 되었습니다."
955,957,2020년 1월부터 시작된 코로나19 때문에 다중이용 시설 중심으로 마스크 착용이 의무화된 2020년 10월 이후로 거의 2년 3개월여 만이다.,"2년 3개월이 지난 코로나19 발생 이후, 다중이용 시설에서는 마스크를 착용하는 것이 의무화되었습니다."
956,958,답답한 마스크 착용으로 이래저래 사건사고가 많았던 기간이지만 막상 실내 마스크 의무 착용이 권고로 바뀌자 사람들의 반응은 다양했다.,사람들은 실내에서의 마스크 착용 의무가 권고로 바뀌자 많은 반응을 보였습니다.
